Wavelength (nm),Transmission (%)
1736,85.28875
1735,85.46132
1734,85.57123
1733,85.61993
1732,85.61920
1731,85.58511
1730,85.53970
1729,85.51344
1728,85.51696
1727,85.51941
1726,85.60681
1725,85.72894
1724,85.95005
1723,86.23417
1722,86.57506
1721,86.96317
1720,87.43488
1719,87.96529
1718,88.48604
1717,88.99443
1716,89.50280
1715,89.99445
1714,90.40484
1713,90.72004
1712,90.96105
1711,91.08030
1710,91.14417
1709,91.10241
1708,90.95180
1707,90.74171
1706,90.47430
1705,90.17255
1704,89.85404
1703,89.56109
1702,89.29639
1701,89.08016
1700,88.91837
1699,88.83715
1698,88.81895
1697,88.84648
1696,88.93572
1695,89.08680
1694,89.30172
1693,89.54007
1692,89.78717
1691,90.01097
1690,90.15675
1689,90.24833
1688,90.25343
1687,90.12707
1686,89.86314
1685,89.46025
1684,88.91276
1683,88.23586
1682,87.43847
1681,86.52578
1680,85.56595
1679,84.59691
1678,83.59622
1677,82.64076
1676,81.75360
1675,80.99185
1674,80.36365
1673,79.88837
1672,79.59898
1671,79.49891
1670,79.59748
1669,79.87625
1668,80.34316
1667,80.98068
1666,81.76300
1665,82.67770
1664,83.69523
1663,84.73422
1662,85.77007
1661,86.75098
1660,87.62808
1659,88.36013
1658,88.89737
1657,89.19391
1656,89.25585
1655,89.07843
1654,88.66439
1653,88.03323
1652,87.23053
1651,86.29709
1650,85.25012
1649,84.17829
1648,83.15243
1647,82.16140
1646,81.29709
1645,80.61791
1644,80.08240
1643,79.72946
1642,79.60093
1641,79.72265
1640,80.10682
1639,80.73654
1638,81.59227
1637,82.62878
1636,83.83741
1635,85.18998
1634,86.60241
1633,88.05484
1632,89.47475
1631,90.74403
1630,91.81941
1629,92.64320
1628,93.18072
1627,93.43745
1626,93.39005
1625,93.04939
1624,92.46735
1623,91.73704
1622,90.86821
1621,89.89533
1620,88.94026
1619,88.03077
1618,87.21892
1617,86.54061
1616,86.02010
1615,85.66847
1614,85.51966
1613,85.54369
1612,85.75306
1611,86.11918
1610,86.61529
1609,87.21472
1608,87.84121
1607,88.50339
1606,89.15615
1605,89.70446
1604,90.13595
1603,90.40998
1602,90.45971
1601,90.30326
1600,89.95916
1599,89.41951
1598,88.72665
1597,87.94454
1596,87.09982
1595,86.23210
1594,85.45132
1593,84.75079
1592,84.17769
1591,83.78772
1590,83.60979
1589,83.61772
1588,83.77762
1587,84.13828
1586,84.65487
1585,85.28748
1584,85.99510
1583,86.67163
1582,87.28581
1581,87.80724
1580,88.16957
1579,88.32922
1578,88.25270
1577,87.96540
1576,87.43413
1575,86.68045
1574,85.77125
1573,84.74759
1572,83.64451
1571,82.52969
1570,81.47740
1569,80.52405
1568,79.71952
1567,79.07753
1566,78.64983
1565,78.46139
1564,78.53991
1563,78.80973
1562,79.30253
1561,80.00807
1560,80.84367
1559,81.84578
1558,82.84954
1557,83.77661
1556,84.59521
1555,85.17986
1554,85.51681
1553,85.55140
1552,85.26178
1551,84.61132
1550,83.74619
1549,82.60779
1548,81.30801
1547,79.92158
1546,78.56260
1545,77.31869
1544,76.23202
1543,75.34511
1542,74.69483
1541,74.30324
1540,74.24079
1539,74.47442
1538,74.98513
1537,75.76071
1536,76.79394
1535,78.06128
1534,79.45962
1533,80.99934
1532,82.59172
1531,84.09477
1530,85.52167
1529,86.72946
1528,87.68066
1527,88.32347
1526,88.60684
1525,88.55891
1524,88.18055
1523,87.56179
1522,86.74725
1521,85.85798
1520,84.95202
1519,84.03453
1518,83.30148
1517,82.71417
1516,82.31113
1515,82.11775
1514,82.14595
1513,82.35573
1512,82.70294
1511,83.14358
1510,83.71558
1509,84.27023
1508,84.77710
1507,85.21751
1506,85.44567
1505,85.49902
1504,85.39184
1503,85.14135
1502,84.69581
1501,84.19067
1500,83.61066
1499,83.05525
1498,82.49747
1497,82.00300
1496,81.60972
1495,81.33019
1494,81.19277
1493,81.15727
1492,81.19551
1491,81.35966
1490,81.50320
1489,81.63246
1488,81.71527
1487,81.64783
1486,81.42359
1485,80.95849
1484,80.39068
1483,79.62227
1482,78.68018
1481,77.58532
1480,76.47200
1479,75.33606
1478,74.39637
1477,73.52378
1476,72.85918
1475,72.43132
1474,72.30426
1473,72.40887
1472,72.77649
1471,73.36629
1470,74.15127
1469,75.06644
1468,75.99152
1467,76.93810
1466,77.64036
1465,78.11958
1464,78.25263
1463,78.01263
1462,77.46685
1461,76.48500
1460,75.21159
1459,73.72533
1458,72.07496
1457,70.66113
1456,69.18366
1455,67.87958
1454,66.82612
1453,66.04103
1452,65.57702
1451,65.47736
1450,65.66838
1449,66.19909
1448,67.04737
1447,68.24010
1446,69.58415
1445,71.08903
1444,72.54629
1443,73.97144
1442,75.27120
1441,76.34276
1440,77.02392
1439,77.31994
1438,77.18475
1437,76.67456
1436,75.91042
1435,75.00982
1434,74.06273
1433,73.14277
1432,72.38696
1431,71.77696
1430,71.42882
1429,71.32253
1428,71.44742
1427,71.77239
1426,72.22541
1425,72.77900
1424,73.34146
1423,73.82362
1422,74.12432
1421,74.26095
1420,74.16256
1419,73.78663
1418,73.20914
1417,72.57149
1416,71.87877
1415,71.11829
1414,70.32024
1413,69.58958
1412,69.07238
1411,68.77374
1410,68.59149
1409,68.51323
1408,68.44201
1407,68.43252
1406,68.38009
1405,68.21539
1404,67.80671
1403,67.17805
1402,66.42035
1401,65.22098
1400,63.58939
1399,61.77388
1398,60.28245
1397,58.95165
1396,57.38164
1395,55.82703
1394,54.76162
1393,54.05691
1392,53.71027
1391,53.65042
1390,53.91440
1389,54.43531
1388,55.10290
1387,55.72222
1386,56.14246
1385,56.54455
1384,56.66184
1383,56.22744
1382,55.30175
1381,53.88196
1380,52.41671
1379,50.88382
1378,49.27908
1377,47.77923
1376,46.34653
1375,45.13819
1374,44.16543
1373,43.54432
1372,43.25523
1371,43.27293
1370,43.59414
1369,44.26035
1368,45.35541
1367,46.68594
1366,48.08443
1365,49.75995
1364,51.25118
1363,52.44916
1362,53.43708
1361,53.80690
1360,53.61953
1359,52.97893
1358,52.06328
1357,51.12523
1356,50.00659
1355,48.81914
1354,47.71129
1353,47.04027
1352,46.75431
1351,46.88274
1350,47.39125
1349,48.14820
1348,49.14680
1347,50.38337
1346,51.74049
1345,53.04639
1344,54.10805
1343,54.86245
1342,55.26797
1341,55.28602
1340,54.94586
1339,54.34044
1338,53.57008
1337,52.79887
1336,52.14803
1335,51.61937
1334,51.33442
1333,51.33952
1332,51.64460
1331,52.23610
1330,53.07936
1329,54.06098
1328,55.07120
1327,56.04942
1326,56.82586
1325,57.30733
1324,57.39976
1323,57.11351
1322,56.46571
1321,55.57233
1320,54.56709
1319,53.59796
1318,52.82935
1317,52.26560
1316,51.98962
1315,52.04328
1314,52.39349
1313,53.01149
1312,53.80199
1311,54.63565
1310,55.31652
1309,55.72904
1308,55.77333
1307,55.38950
1306,54.58374
1305,53.39203
1304,52.00277
1303,50.55233
1302,49.16063
1301,47.97347
1300,47.05160
1299,46.46825
1298,46.23703
1297,46.32156
1296,46.71003
1295,47.34443
1294,48.15064
1293,49.02874
1292,49.82482
1291,50.43147
1290,50.75615
1289,50.72920
1288,50.33575
1287,49.61865
1286,48.66341
1285,47.55417
1284,46.47021
1283,45.56597
1282,44.86640
1281,44.46096
1280,44.36835
1279,44.57062
1278,45.06547
1277,45.80658
1276,46.70287
1275,47.62992
1274,48.53722
1273,49.39162
1272,50.03649
1271,50.47368
1270,50.68427
1269,50.67729
1268,50.52526
1267,50.33023
1266,50.18318
1265,50.10475
1264,50.08358
1263,50.13188
1262,50.24236
1261,50.39851
1260,50.54106
1259,50.62141
1258,50.61503
1257,50.49619
1256,50.28532
1255,49.99678
1254,49.65559
1253,49.31842
1252,49.04822
1251,48.86971
1250,48.77382
1249,48.77777
1248,48.87497
1247,49.02055
1246,49.14945
1245,49.19465
1244,49.08011
1243,48.78075
1242,48.29520
1241,47.61503
1240,46.83471
1239,46.04657
1238,45.32506
1237,44.73192
1236,44.30815
1235,44.11230
1234,44.17051
1233,44.42975
1232,44.83654
1231,45.32184
1230,45.77946
1229,46.10323
1228,46.20358
1227,46.04851
1226,45.64427
1225,45.03351
1224,44.30297
1223,43.58540
1222,42.92891
1221,42.40967
1220,42.10888
1219,42.06524
1218,42.25447
1217,42.65647
1216,43.27891
1215,43.99408
1214,44.72189
1213,45.38233
1212,45.90453
1211,46.23624
1210,46.34191
1209,46.23631
1208,45.98478
1207,45.64924
1206,45.31251
1205,45.01658
1204,44.82644
1203,44.74868
1202,44.76553
1201,44.88377
1200,45.05660
1199,45.21454
1198,45.29111
1197,45.30072
1196,45.25829
1195,45.17468
1194,45.05784
1193,44.95422
1192,44.88555
1191,44.86732
1190,44.90061
1189,44.94891
1188,44.97734
1187,44.92317
1186,44.74158
1185,44.43122
1184,43.99301
1183,43.46081
1182,42.88749
1181,42.34467
