Wavelength (nm),Transmission (%),,,,,,
1956,82.22101593,,,,,,
1955,82.28116989,,,,,,
1954,82.33867645,,,,,,
1953,82.27187729,,,,,,
1952,82.33129502,,,,,,
1951,82.38842392,,,,,,
1950,82.29438019,,,,,,
1949,82.27452088,,,,,,
1948,82.3923645,,,,,,
1947,82.33629608,,,,,,
1946,82.3398552,,,,,,
1945,82.31877136,,,,,,
1944,82.28369522,,,,,,
1943,82.19724655,,,,,,
1942,82.33415985,,,,,,
1941,82.25911331,,,,,,
1940,82.27217102,,,,,,
1939,82.13328934,,,,,,
1938,82.26715088,,,,,,
1937,82.25765228,,,,,,
1936,82.24516678,,,,,,
1935,82.23071671,,,,,,
1934,82.28330994,,,,,,
1933,82.29574585,,,,,,
1932,82.20598602,,,,,,
1931,82.16376877,,,,,,
1930,82.24185181,,,,,,
1929,82.12417603,,,,,,
1928,82.14538956,,,,,,
1927,82.1086998,,,,,,
1926,82.2937851,,,,,,
1925,82.27077866,,,,,,
1924,82.11932755,,,,,,
1923,82.14974976,,,,,,
1922,82.16231156,,,,,,
1921,82.17235184,,,,,,
1920,82.11222077,,,,,,
1919,82.10141754,,,,,,
1918,82.13113403,,,,,,
1917,82.10465622,,,,,,
1916,82.10939789,,,,,,
1915,82.15381241,,,,,,
1914,82.05810929,,,,,,
1913,82.07833099,,,,,,
1912,82.06792069,,,,,,
1911,82.08702851,,,,,,
1910,81.86101532,,,,,,
1909,81.92926407,,,,,,
1908,81.99794007,,,,,,
1907,81.96134186,,,,,,
1906,82.02935791,,,,,,
1905,81.93255997,,,,,,
1904,81.95292282,,,,,,
1903,82.10743332,,,,,,
1902,81.95335388,,,,,,
1901,81.95337296,,,,,,
1900,81.92803574,,,,,,
1899,82.13122559,,,,,,
1898,81.88153839,,,,,,
1897,81.98078537,,,,,,
1896,81.9583397,,,,,,
1895,81.92413712,,,,,,
1894,81.92708206,,,,,,
1893,81.76376343,,,,,,
1892,81.9218216,,,,,,
1891,81.87532806,,,,,,
1890,81.95442581,,,,,,
1889,81.82721711,,,,,,
1888,81.97222519,,,,,,
1887,81.87640763,,,,,,
1886,81.94985581,,,,,,
1885,81.86602402,,,,,,
1884,81.81457138,,,,,,
1883,81.78631592,,,,,,
1882,81.81303787,,,,,,
1881,81.87765122,,,,,,
1880,81.79626847,,,,,,
1879,81.69540024,,,,,,
1878,81.84337998,,,,,,
1877,81.87776947,,,,,,
1876,81.82252884,,,,,,
1875,81.80111313,,,,,,
1874,81.66713333,,,,,,
1873,81.84074402,,,,,,
1872,81.73847199,,,,,,
1871,81.78074646,,,,,,
1870,81.64155197,,,,,,
1869,81.63019562,,,,,,
1868,81.81821823,,,,,,
1867,81.80974579,,,,,,
1866,81.69981384,,,,,,
1865,81.63898468,,,,,,
1864,81.64713669,,,,,,
1863,81.62044907,,,,,,
1862,81.6569252,,,,,,
1861,81.63920212,,,,,,
1860,81.56454468,,,,,,
1859,81.57770539,,,,,,
1858,81.63825608,,,,,,
1857,81.6714058,,,,,,
1856,81.56100846,,,,,,
1855,81.56869889,,,,,,
1854,81.6891861,,,,,,
1853,81.51633453,,,,,,
1852,81.48630142,,,,,,
1851,81.55048752,,,,,,
1850,81.46951675,,,,,,
1849,81.545578,,,,,,
1848,81.46473694,,,,,,
1847,81.40566635,,,,,,
1846,81.46735383,,,,,,
1845,81.47629166,,,,,,
1844,81.52833557,,,,,,
1843,81.44305039,,,,,,
1842,81.41132737,,,,,,
1841,81.40217209,,,,,,
1840,81.47519684,,,,,,
1839,81.39172745,,,,,,
1838,81.4709549,,,,,,
1837,81.42326355,,,,,,
1836,81.41957474,,,,,,
1835,81.35264969,,,,,,
1834,81.36629105,,,,,,
1833,81.26193238,,,,,,
1832,81.28253174,,,,,,
1831,81.25261688,,,,,,
1830,81.32814789,,,,,,
1829,81.22279358,,,,,,
1828,81.38074112,,,,,,
1827,81.26376724,,,,,,
1826,81.31729889,,,,,,
1825,81.29073715,,,,,,
1824,81.30308533,,,,,,
1823,81.15530777,,,,,,
1822,81.19061661,,,,,,
1821,81.13853455,,,,,,
1820,81.14315033,,,,,,
1819,81.0611763,,,,,,
1818,81.11134339,,,,,,
